Autor_in	Lebensdaten
Chamisso, Adelbert von	(1781–1838)
Janitschek, Maria	(1859–1927)
Tieck, Ludwig	(1773–1853)
Aeschylus	(525–456 v. Chr.)
Mörike, Eduard	(1804–1875)
Moscherosch, Johann Michael	(1601–1669)
Auenbrugger, Leopold	1722–1809
Sade, Marquis de	(1740–1814)
Homerus	(8. Jh. v. Chr. – 8. Jh. v. Chr. ?)
Müller, Carl Theodor	(1796–1873)
Baader, Bernhard	(ca. 1801–1859)
Uz, Johann Peter	(1720–1796)
Jahn, Ulrich	(1861–1900)
Günderode, Karoline von	(1780–1806)
Canitz, Friedrich von	(1654–1699)
Freiligrath, Ferdinand	(1810–1876)
Stranitzky, Joseph Anton	(1676–1726)
Grün, Anastasius	(1808–1876)
Sterne, Laurence	(1713–1768)
Nebel, Ernst Ludwig Wilhelm	(1772–1854)
Schlegel, Dorothea	(1763–1839)
Müller, Robert	(1887–1924)
Arnold, Gottfried	(1666–1714)
Saar, Ferdinand von	(1833–1906)
Hugo, Victor	(1802–1885)
Büchner, Luise	(1821–1877)
Winckelmann, Johann Joachim	(1717–1768)
Berg, O.F.	(1833–1886)
Schopenhauer, Adele	(1797-1849)
Jacobi, Friedrich Heinrich	(1743–1819)
Ungern-Sternberg, Alexander von	(1806–1868)
Ernst, Paul	(1866–1933)
Kalisch, David	(1820–1872)
Jung-Stilling, Johann Heinrich	(1740–1817)
Sophocles	(um 495 – um 406 v. Chr.)
Heiseler, Henry von	(1875–1928)
Lavater, Johann Caspar	(1741–1800)
Trakl, Georg	(1887–1914)
Raabe, Wilhelm	(1831–1910)
Schiller, Friedrich	(1759–1805)
Gautier, Théophile	(1811–1872)
Prutz, Robert Eduard	(1816–1872)
Duncker, Dora	(1855–1916)
Krüger, Johann Christian	(1723–1750)
Droste-Hülshoff, Annette von	(1797–1848)
Rosner, Ferdinand	(1709–1778)
Neuber, Friederike Caroline	(1697–1760)
Frischlin, Nicodemus	(1547–1590)
Cranz, August Friedrich	(1737–1801)
L'Arronge, Adolph	(1838–1908)
Rabener, Gottlieb Wilhelm	(1714–1771)
Hagedorn, Friedrich von	(1708–1754)
Kafka, Franz	(1883–1924)
Mickiewicz, Adam	(1798–1855)
Hartleben, Otto Erich	(1864–1905)
Dörmann, Felix	(1819–1895)
Benkowitz, Karl Friedrich	(1764–1807)
Spitteler, Carl	(1845–1924)
Cazotte, Jacques	(1719–1792)
Pückler-Muskau, Hermann von	(1785–1871)
Schnitzer, Ignaz	(1839–1921)
Schnabel, Johann Gottfried	(1692–1751/1758)
Gončarov, Ivan Aleksandrovič	(1812–1891)
Roeling, Johann	(1634–1679)
Petrarca, Francesco	(1304–1374)
Boßdorf, Hermann	(1877–1921)
Zachariae, Justus Friedrich Wilhelm	(1726–1777)
Spyri, Johanna	(1827–1901)
Cleland, John	(1789–1789)
